,author,stars,date,text
30,Callan C.,"Inedible sushi. I just got my sushi delivered and it is so disgusting I can't even eat it.
",2019-04-04,1.0
31,Danika Z.,"We were pleasantly surprised considering the not so great reviews. 

We both really liked the chasu ramen. I didn't think they were stingy with the chasu like mentioned in a prior post. There were four big pieces of chasu and quite well prepared and juicy. 


Food 9/10

Service 8/10

Atmosphere 8/10

Presentation 8/10
",2018-09-28,4.0
32,Eunice F.,"The Ramen here was so good. I like the thin noodles coz usually the noodles that I had were thick. It was new for me so I liked it. The server here was accommodating as well and usually checked on me if I have anything that I need.
",2018-09-13,5.0
33,Emma W.,"I don't think this place deserves all those 1 and 2 star ratings at all! DJ definitely wasn't the most phenomenal sushi, but it was just fine. The service was also decent. 

I got the chashu ramen and my boyfriend got the tonkatsu ramen (both $10), which were both tasty and filling. I particularly thought the chashu was really well cooked and yummy. We also got the 49er roll ($11.50), which was on the small side but still delicious. 

I would definitely check it out if you're craving Japanese and are in the area. 

We used a discount from restaurant.com
",2016-11-15,3.0
34,Zaynub N.,"Ordered the Lion King Roll through Eat 24, and very pleased with the taste, the portion, and the price.
",2018-08-14,5.0
35,Michele T.,"Jenn is super nice and super cool! The rose are awesome made very nicely and very tasty. Five star for staff & service also for food.
",2018-04-13,5.0
36,Yokyok N.,"It's really bad
Like really bad, I really don't know how to tell how bad is it

Saba was smelly
Uni was the worst

The price was unreasonable for that quality
",2018-05-20,1.0
37,Ben L.,"We got the unagi over rice dinner entre and what came was a disappointing 8 thin as s pieces of unagi and bunch of other junk. Got here cold as well.  This is the worst. Food trucks have better food.
",2018-04-29,1.0
38,Jon L.,"The former Mura although nothing has changed about the space apart from the name. Decent enough ramen but odd service and business decisions distract. 

I like the pork belly ramen. Perhaps a tad salty but I enjoy it nonetheless. Pretty generous toppings for a $10 bowl and the noodles have a decent bite to them. My issue here is that they leave the front door open which on a really cold SF night, makes the ramen lukewarm-tepid the moment it arrives at the table. I guess they keep the door open to let folks know they are open but it takes away from the ramen. You really want the bowl of noodles to arrive pipping hot. The one server was doing her best but obviously overwhelmed. 

More of a place for subsistence eating, pop by if you're looking for a cheap ramen fix but definitely not a destination spot by any means.
",2016-09-15,3.0
39,Veronica L.,"The food was good, but no matter how nice and fast with our order we tried to be, the waitress couldn't spare one smile and gave hardly and eye contact, as a former waitress myself, you can't expect tips if you treat customers like just another thing to bother her.
The toilet has a trap inside, and it like a bus does, it hardly flushes and stuff comes out, disgusting
",2018-03-29,2.0
40,Tony P.,"Sushi was okay, but the services was not great.

Update: My biggest issue is that after calling them back to try and rectify the issue, they essentially blew me off pointing the finger at the delivery company.  No resolution, no ownership for the issue ... disappointing.
",2018-07-12,2.0
41,Jensun M.,"Food was great, we tried Japanese beef Ramen and the two spoon uni as well as the rainbow roll all three were extremely good we ordered the ramen second to highest spicy level and it was really good at that level if you can handle spice. Only reason I give it 4 stars is because of the fact that we were the only two people eating inside the restaurant and service was ridiculously slow they had only one girl manning tables and to-go orders and they were slammed with to-go orders it seemed like she was more concerned with those than being attentive with us but we got our food pretty quickly and it was good so I might comeback if we're ever here again.
",2018-06-24,4.0
